Month,SilverPrice,GoldPrice
Mar-97,186.48,12619.24
Apr-97,170.65,12338.59
May-97,170.44,12314.94
Jun-97,169.96,12202.78
Jul-97,155.8,11582.07
Aug-97,162.16,11640.38
Sep-97,172.13,11755.57
Oct-97,181.57,11769.89
Nov-97,187.99,11370.19
Dec-97,224.16,11324.79
Jan-98,230.08,11378.25
Feb-98,261.75,11576.23
Mar-98,243.81,11690.84
Apr-98,249.37,12225.02
May-98,225.54,12075.24
Jun-98,222.24,12349.86
Jul-98,232.46,12450.03
Aug-98,220.73,12142.73
Sep-98,213.74,12287.69
Oct-98,211.8,12531.16
Nov-98,211.21,12463.97
Dec-98,207.96,12412.18
Jan-99,219.44,12203.2
Feb-99,235.52,12203.06
Mar-99,220.61,12135.19
Apr-99,217.57,12075.25
May-99,226.61,11823.6
Jun-99,219.02,11272.2
Jul-99,226.31,11084.77
Aug-99,230.06,11155.98
Sep-99,229.82,11526.3
Oct-99,235.38,13502.09
Nov-99,225.32,12723.39
Dec-99,226.61,12309.24
Jan-00,227.98,12382.68
Feb-00,231,13077.75
Mar-00,222.37,12483.33
Apr-00,222.72,12205.39
May-00,221.88,12100.23
Jun-00,225.78,12769.55
Jul-00,224.71,12609.06
Aug-00,225.15,12541.03
Sep-00,226.92,12558.9
Oct-00,226.27,12515.53
Nov-00,220.78,12444.55
Dec-00,218.04,12690.44
Jan-01,218.83,12355.9
Feb-01,212.75,12181.9
Mar-01,205.1,12262.59
Apr-01,205.51,12186.79
May-01,208.12,12778.39
Jun-01,205.32,12702.23
Jul-01,200.56,12611.85
Aug-01,198.27,12836.74
Sep-01,209.25,13503.83
Oct-01,212.19,13592.68
Nov-01,197.92,13254.95
Dec-01,209.23,13217.92
Jan-02,217.59,13606.99
Feb-02,216.57,14388.34
Mar-02,222.74,14332.32
Apr-02,225.27,14806.95
May-02,232.04,15410.01
Jun-02,240.95,15725.33
Jul-02,241.17,15277.25
Aug-02,221.65,15075.69
Sep-02,222.55,15459.5
Oct-02,213.93,15311.83
Nov-02,219.02,15396.81
Dec-02,224.21,15977.8
Jan-03,232.76,17104.25
Feb-03,223.45,17135.72
Mar-03,216.64,16224.16
Apr-03,214.92,15548.35
May-03,223.78,16746.68
Jun-03,212.87,16649.12
Jul-03,224.92,16229.25
Aug-03,231.01,16526.12
Sep-03,238.71,17374.81
Oct-03,228.73,17199.35
Nov-03,236.99,17748.7
Dec-03,257.74,18553.38
Jan-04,289.57,18806.25
Feb-04,293.23,18329.5
Mar-04,328.37,18306.02
Apr-04,311.3,17716.56
May-04,266.05,17362.97
Jun-04,267.81,17859.21
Jul-04,293.55,18329.56
Aug-04,311.06,18560.59
Sep-04,295.92,18682.41
Oct-04,327.21,19250.39
Nov-04,338.98,19821.18
Dec-04,313.33,19442.83
Jan-05,291.23,18554.21
Feb-05,308.92,18490.66
Mar-05,317.53,18954.91
Apr-05,313.07,18775.16
May-05,306.74,18347.86
Jun-05,319.76,18770.58
Jul-05,306.68,18480.7
Aug-05,306.57,19105.09
Sep-05,315.91,20028.03
Oct-05,345.09,21062
Nov-05,359.58,21796.08
Dec-05,396.65,23290.06
Jan-06,407.79,24413.14
Feb-06,422.09,24603.51
Mar-06,461.44,24776.99
Apr-06,567.78,27448.49
May-06,607.5,30668.98
Jun-06,496.21,27455.73
Jul-06,520.88,29439.75
Aug-06,570.29,29440.3
Sep-06,534.97,27588.91
Oct-06,528.14,26634.49
Nov-06,582.45,28162.44
Dec-06,593.56,28110.41
Jan-07,570.48,27985.57
Feb-07,615.88,29356.7
Mar-07,579.5,28832.08
Apr-07,578.83,28636.08
May-07,537.93,27220.91
Jun-07,536.2,26726.01
Jul-07,522.76,26892.24
Aug-07,503.37,27160.49
