submission,submit_time
https://ckd.upgrad.com/UpGrad/73ba5189-94fd-44aa-88d3-6b36aaa69b02/DDA1610095.zip,01/03/17-20:28:52
https://ckd.upgrad.com/UpGrad/185242ff-7508-4cc4-afa3-5865733ba1d4/DDA1610288.zip,01/03/17-20:18:21
https://ckd.upgrad.com/UpGrad/a353d129-c100-4342-aa95-a7018ff93150/DDA1610106.zip,01/03/17-22:37:08
https://ckd.upgrad.com/UpGrad/002fc912-faa1-4948-9358-fcdabfd7669c/DDA1610261.zip,01/02/17-21:43:19
https://ckd.upgrad.com/UpGrad/25cbc4a4-6d49-4ffa-9bf1-06bdb1a7cf8f/DDA1610028.zip,01/03/17-15:27:49
https://ckd.upgrad.com/UpGrad/0ab308ab-2b3a-4c74-9bac-c12567a04754/DDA1610059.zip,01/04/17-02:43:46
https://ckd.upgrad.com/UpGrad/ba2c249c-dac8-4619-a978-7fc4d15a9a89/DDA1610087.zip,01/03/17-23:41:25
https://ckd.upgrad.com/UpGrad/d8969806-6760-4428-a861-545fb4aff136/DDA1610042.zip,01/09/17-23:49:09
https://ckd.upgrad.com/UpGrad/5ff1d0ab-816b-48c0-a5a2-b76b1fd1d787/DDA1610060.zip,12/30/16-14:14:17
https://ckd.upgrad.com/UpGrad/0d507851-d102-4714-866c-348b0acf053f/DDA1610195.R,01/03/17-21:18:04
https://ckd.upgrad.com/UpGrad/9a756d83-7a83-49a7-bd18-4c61aaab32b6/DDA1610084.zip,01/03/17-23:55:41
https://ckd.upgrad.com/UpGrad/873211b9-5a3q-4510-91cb-awqbd210a7f/DDA1610008.zip,01/09/17-23:41:23
https://ckd.upgrad.com/UpGrad/1c4b7a1a-8287-45b4-b774-2c5388031532/DDA1610206.zip,01/03/17-23:49:21
https://ckd.upgrad.com/UpGrad/7091a8b2-d3ba-43aa-8a6c-6daf63f1a60b/DDA1610018.zip,01/03/17-20:13:50
https://ckd.upgrad.com/UpGrad/5adfdcbb-a728-496d-b3ac-f95116b09b14/DDA1610097.zip,01/03/17-20:52:33
https://ckd.upgrad.com/UpGrad/042f9a24-6595-448d-b3ca-019713a4bdff/DDA1610107.zip,01/03/17-18:22:59
https://ckd.upgrad.com/UpGrad/f0c04fba-56d2-4ac5-bcaa-f355a9324c07/DDA1610262.zip,01/04/17-01:43:43
https://ckd.upgrad.com/UpGrad/bb7a7237-419d-408d-9bd3-8da51d31c0ba/DDA1610273.zip,01/03/17-23:59:35
https://ckd.upgrad.com/UpGrad/a790dc52-359f-475f-9b35-841a552c949b/DDA1680725.zip,01/02/17-23:45:18
https://ckd.upgrad.com/UpGrad/420af317-8a55-4a5b-9f3d-33377ba51daa/DDA1610030.zip,01/03/17-23:20:31
https://ckd.upgrad.com/UpGrad/8268791a-c6a8-422a-ad4d-2d1138163328/DDA1680292.zip,01/03/17-23:56:45
https://ckd.upgrad.com/UpGrad/7cbc35aa-1d5c-4d17-b669-5bb9ab5b2f3c/DDA1610234.zip,01/09/17-23:59:21
https://ckd.upgrad.com/UpGrad/1244015f-95d6-458a-a1cf-5034c37da339/DDA1610207.zip,01/03/17-14:52:54
https://ckd.upgrad.com/UpGrad/a65db4a2-3d36-46bf-9c00-c6b66fa87a3d/DDA1610010.zip,01/01/17-22:03:32
https://ckd.upgrad.com/UpGrad/a4d13ca3-9b40-4045-a44b-18f15f0b4ab2/DDA1610191.zip,01/04/17-00:04:08
https://ckd.upgrad.com/UpGrad/7996d076-6118-4877-b408-28ab90111d4d/DDA1610128.zip,01/03/17-20:40:53
https://ckd.upgrad.com/UpGrad/8fd2afb9-7bc2-4184-8c34-c2b083bbaab7/DDA1610118.zip,01/03/17-23:11:11
https://ckd.upgrad.com/UpGrad/a19279d5-a025-45d1-9cf3-94f0c3aa63ad/DDA1610131.zip,01/03/17-21:36:16
https://ckd.upgrad.com/UpGrad/3f50884a-4fd0-4826-9838-61a6781939ab/DDA1610160.zip,01/09/17-23:26:15
https://ckd.upgrad.com/UpGrad/48781790-093d-42c9-9593-5d796ca34fff/DDA1610290.zip,01/04/17-00:03:26
https://ckd.upgrad.com/UpGrad/cc4f866d-b532-409a-924d-2acbaab74165/DDA1610056.zip,01/04/17-00:01:00
https://ckd.upgrad.com/UpGrad/8133c6ac-6589-4237-8795-b0f708bf5a16/DDA1610145.zip,01/03/17-13:20:33
https://ckd.upgrad.com/UpGrad/a5302db0-f909-4aa0-9329-ad3a85a117bb/DDA1610180.zip,12/28/16-21:40:59
https://ckd.upgrad.com/UpGrad/1c9a2339-f41d-4fa8-afcc-9ab929a7413f/DDA1610057.zip,01/02/17-04:58:46
https://ckd.upgrad.com/UpGrad/00a50aab-8bd3-4cda-85a3-da3c045f24a6/DDA1610155.zip,01/03/17-23:30:12
https://ckd.upgrad.com/UpGrad/c99cb4cc-aa92-42a7-93af-954002d6c16a/DDA1610026.zip,01/03/17-22:36:08
https://ckd.upgrad.com/UpGrad/9dcaaf78-bcbf-43f1-bfc5-165a993a99b8/DDA1610049.zip,01/09/17-01:21:34
https://ckd.upgrad.com/UpGrad/17026bb3-ab3c-4f8f-8acc-04f6bfc93089/DDA1610181.zip,01/03/17-10:09:29
https://ckd.upgrad.com/UpGrad/b3b14536-b46b-47a6-b98c-c5c81cc0f3dc/DDA1610068.zip,02/03/17-04:02:28
https://ckd.upgrad.com/UpGrad/da1aafff-477d-4739-9239-2d26aaafbbc7/DDA1610231.zip,01/03/17-23:36:56
https://ckd.upgrad.com/UpGrad/0c217b64-4160-450b-a94a-cca6075a4990/DDA1610289.R,01/09/17-23:31:05
https://ckd.upgrad.com/UpGrad/684aaf00-355c-4b97-93b9-f613c6a9cbab/DDA1610179.zip,01/04/17-01:17:23
https://ckd.upgrad.com/UpGrad/68cf9c59-621b-4708-9c8d-dab9aab6491f/DDA1610037.zip,01/03/17-01:46:10
https://ckd.upgrad.com/UpGrad/32cb7df0-b430-482b-b951-9a84968b53a3/DDA1610156.R,01/17/17-13:56:23
https://ckd.upgrad.com/UpGrad/5fda5ddd-d9a5-487c-ac7b-2a656bfb72df/DDA1610032.zip,01/03/17-23:37:49
https://ckd.upgrad.com/UpGrad/bd8ddf8a-ac47-4c7b-af9b-62006cf875ba/DDA1610140.zip,01/03/17-23:39:12
https://ckd.upgrad.com/UpGrad/a4d5c706-26b6-47fd-91af-39a95dc80b37/DDA1610151.zip,01/03/17-23:02:52
https://ckd.upgrad.com/UpGrad/97727952-94cc-43ac-8b40-d0b235481c3b/DDA1610158.zip,01/10/17-01:02:44
https://ckd.upgrad.com/UpGrad/73584688-59aa-4335-bc24-89636292f566/DDA1610210.zip,01/03/17-21:21:14
https://ckd.upgrad.com/UpGrad/ad4a86a2-a05c-4f29-92d7-fd68b2da680a/DDA1610216.zip,01/03/17-20:31:51
https://ckd.upgrad.com/UpGrad/d1fdsdfkjhd-kjfh34-ssdfj3--65761cc9b1dc/DDA1610133.zip,01/03/17-16:38:12
https://ckd.upgrad.com/UpGrad/7998ba02-b315-4fb9-8a81-495fc89bc97f/DDA1610259.zip,01/03/17-23:24:27
https://ckd.upgrad.com/UpGrad/4aa8a126-4ac3-439c-8541-2f31bf862c54/DDA1610247.zip,01/03/17-21:35:31
https://ckd.upgrad.com/UpGrad/f2ac711c-3cfb-401d-b57c-95da44f8a95d/DDA1610020.zip,01/03/17-23:33:37
https://ckd.upgrad.com/UpGrad/7241d023-821b-48b2-8a01-ac761a7fd67c/DDA1610053.zip,01/03/17-14:27:59
https://ckd.upgrad.com/UpGrad/3c564a75-8738-47a4-8681-6384099c86ab/DDA1610303.zip,01/02/17-18:07:27
https://ckd.upgrad.com/UpGrad/58ccf7ab-f923-4c5a-81b0-ab5905193469/DDA1610012.zip,01/03/17-21:07:13
https://ckd.upgrad.com/UpGrad/b1d8a868-25aa-4237-98a4-945ab41db47a/DDA1610064.zip,01/03/17-23:38:16
https://ckd.upgrad.com/UpGrad/78cfa157-4db8-41fa-9459-26ca3f325c27/DDA1610196.zip,01/09/17-20:47:36
https://ckd.upgrad.com/UpGrad/cc7a66d1-0a45-4ba2-8b04-a17a7f303aaf/DDA1610136.zip,01/03/17-06:58:26
