price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,semi-furnished,unfurnished,areaperbedroom,bbratio
5250000,5500,3,2,1,1,0,1,0,0,0,0,1,0,1833.333333333333,0.6666666666666666
4480000,4040,3,1,2,1,0,0,0,0,1,0,1,0,1346.6666666666667,0.3333333333333333
3570000,3640,2,1,1,1,0,0,0,0,0,0,0,1,1820.0,0.5
2870000,3040,2,1,1,0,0,0,0,0,0,0,0,1,1520.0,0.5
3570000,4500,2,1,1,0,0,0,0,0,0,0,0,0,2250.0,0.5
3920000,7260,3,2,1,1,1,1,0,0,3,0,0,0,2420.0,0.6666666666666666
2450000,3210,3,1,2,1,0,1,0,0,0,0,0,1,1070.0,0.3333333333333333
3290000,4040,2,1,1,1,0,0,0,0,0,0,0,1,2020.0,0.5
5460000,6100,3,1,3,1,1,0,0,1,0,1,1,0,2033.333333333333,0.3333333333333333
4235000,6650,3,1,2,1,1,0,0,0,0,0,1,0,2216.6666666666665,0.3333333333333333
6300000,6400,3,1,1,1,1,1,0,1,1,1,1,0,2133.333333333333,0.3333333333333333
1767150,2400,3,1,1,0,0,0,0,0,0,0,1,0,800.0,0.3333333333333333
2940000,3660,4,1,2,0,0,0,0,0,0,0,0,1,915.0,0.25
5425000,6825,3,1,1,1,1,1,0,1,0,1,1,0,2275.0,0.3333333333333333
6265000,6000,4,1,3,1,1,1,0,0,0,1,0,1,1500.0,0.25
6475000,3960,3,1,1,1,0,1,0,0,2,0,1,0,1320.0,0.3333333333333333
3850000,5300,5,2,2,1,0,0,0,0,0,0,1,0,1060.0,0.4
4200000,4079,3,1,3,1,0,0,0,0,0,0,1,0,1359.6666666666667,0.3333333333333333
3535000,3850,3,1,1,1,0,0,0,0,2,0,0,1,1283.3333333333333,0.3333333333333333
8680000,7155,3,2,1,1,1,1,0,1,2,0,0,1,2385.0,0.6666666666666666
3290000,5880,3,1,1,1,0,0,0,0,1,0,0,1,1960.0,0.3333333333333333
4200000,4000,4,2,2,0,0,0,0,0,0,0,1,0,1000.0,0.5
3430000,2610,3,1,2,1,0,1,0,0,0,1,0,1,870.0,0.3333333333333333
5243000,6050,3,1,1,1,0,1,0,0,0,1,1,0,2016.666666666667,0.3333333333333333
5145000,7980,3,1,1,1,0,0,0,0,1,1,1,0,2660.0,0.3333333333333333
5880000,6500,3,2,3,1,0,0,0,1,0,0,0,1,2166.6666666666665,0.6666666666666666
3885000,3180,4,2,2,1,0,0,0,0,0,0,0,0,795.0,0.5
2940000,5850,3,1,2,1,0,1,0,0,1,0,0,1,1950.0,0.3333333333333333
6650000,4260,4,2,2,1,0,0,1,0,0,0,1,0,1065.0,0.5
6090000,6600,3,1,1,1,1,1,0,0,2,1,1,0,2200.0,0.3333333333333333
6020000,6800,2,1,1,1,1,1,0,0,2,0,0,0,3400.0,0.5
4200000,5800,3,1,1,1,0,0,1,0,2,0,1,0,1933.333333333333,0.3333333333333333
3633000,3520,3,1,1,1,0,0,0,0,2,1,0,1,1173.3333333333333,0.3333333333333333
9870000,8100,4,1,2,1,1,1,0,1,2,1,0,0,2025.0,0.25
5215000,7200,3,1,2,1,1,1,0,0,1,1,0,0,2400.0,0.3333333333333333
13300000,7420,4,2,3,1,0,0,0,1,2,1,0,0,1855.0,0.5
3010000,4600,2,1,1,1,0,0,0,0,0,0,0,0,2300.0,0.5
4865000,4350,2,1,1,1,0,1,0,0,0,0,0,1,2175.0,0.5
6160000,5450,4,2,1,1,0,1,0,1,0,1,1,0,1362.5,0.5
3640000,2850,3,2,2,0,0,1,0,0,0,1,0,1,950.0,0.6666666666666666
5740000,5800,3,2,4,1,0,0,0,1,0,0,0,1,1933.333333333333,0.6666666666666666
4620000,2870,2,1,2,1,1,1,0,0,0,1,1,0,1435.0,0.5
6107500,3240,4,1,3,1,0,0,0,0,1,0,1,0,810.0,0.25
6230000,6600,3,2,1,1,0,1,0,1,0,1,0,1,2200.0,0.6666666666666666
2450000,3500,2,1,1,1,1,0,0,0,0,0,0,1,1750.0,0.5
5250000,8520,3,1,1,1,0,0,0,1,2,0,0,0,2840.0,0.3333333333333333
3360000,3750,3,1,1,1,0,0,0,0,0,0,0,1,1250.0,0.3333333333333333
5460000,3150,3,2,1,1,1,1,0,1,0,0,0,0,1050.0,0.6666666666666666
