Order ID,Ship Mode,Segment,Region,Product ID,Sales,Quantity,Discount,Profit
CA-2016-152156,Second Class,Consumer,South,FUR-BO-10001798,261.96,2,0%,41.9136
CA-2016-152156,Second Class,Consumer,South,FUR-CH-10000454,731.94,3,0%,219.582
CA-2016-138688,Second Class,Corporate,West,OFF-LA-10000240,14.62,2,0%,6.8714
US-2015-108966,Standard Class,Consumer,South,FUR-TA-10000577,957.5775,5,0.45%,-383.031
US-2015-108966,Standard Class,Consumer,South,OFF-ST-10000760,22.368,2,0.20%,2.5164
CA-2014-115812,Standard Class,Consumer,West,FUR-FU-10001487,48.86,7,0%,14.1694
CA-2014-115812,Standard Class,Consumer,West,OFF-AR-10002833,7.28,4,0%,1.9656
CA-2014-115812,Standard Class,Consumer,West,TEC-PH-10002275,907.152,6,0.20%,90.7152
CA-2014-115812,Standard Class,Consumer,West,OFF-BI-10003910,18.504,3,0.20%,5.7825
CA-2014-115812,Standard Class,Consumer,West,OFF-AP-10002892,114.9,5,0%,34.47
CA-2014-115812,Standard Class,Consumer,West,FUR-TA-10001539,1706.184,9,0.20%,85.3092
CA-2014-115812,Standard Class,Consumer,West,TEC-PH-10002033,911.424,4,0.20%,68.3568
CA-2017-114412,Standard Class,Consumer,South,OFF-PA-10002365,15.552,3,0.20%,5.4432
CA-2016-161389,Standard Class,Consumer,West,OFF-BI-10003656,407.976,3,0.20%,132.5922
US-2015-118983,Standard Class,Home Office,Central,OFF-AP-10002311,68.81,5,0.80%,-123.858
US-2015-118983,Standard Class,Home Office,Central,OFF-BI-10000756,2.544,3,0.80%,-3.816
CA-2014-105893,Standard Class,Consumer,Central,OFF-ST-10004186,665.88,6,0%,13.3176
CA-2014-167164,Second Class,Consumer,West,OFF-ST-10000107,55.5,2,0%,9.99
CA-2014-143336,Second Class,Consumer,West,OFF-AR-10003056,8.56,2,0%,2.4824
CA-2014-143336,Second Class,Consumer,West,TEC-PH-10001949,213.48,3,0.20%,16.011
CA-2014-143336,Second Class,Consumer,West,OFF-BI-10002215,22.72,4,0.20%,7.384
CA-2016-137330,Standard Class,Corporate,Central,OFF-AR-10000246,19.46,7,0%,5.0596
CA-2016-137330,Standard Class,Corporate,Central,OFF-AP-10001492,60.34,7,0%,15.6884
US-2017-156909,Second Class,Consumer,East,FUR-CH-10002774,71.372,2,0.30%,-1.0196
CA-2015-106320,Standard Class,Consumer,West,FUR-TA-10000577,1044.63,3,0%,240.2649
CA-2016-121755,Second Class,Consumer,West,OFF-BI-10001634,11.648,2,0.20%,4.2224
CA-2016-121755,Second Class,Consumer,West,TEC-AC-10003027,90.57,3,0%,11.7741
US-2015-150630,Standard Class,Consumer,East,FUR-BO-10004834,3083.43,7,0.50%,-1665.0522
US-2015-150630,Standard Class,Consumer,East,OFF-BI-10000474,9.618,2,0.70%,-7.0532
