Close_btc,Close_et,Close_ltc,Close_mon,Close_neo,Close_qt
7144.38,294.66,61.3,99.76,26.23,11.21
7022.76,298.89,55.17,102.92,26.32,10.44
7407.41,296.26,54.75,86.35,26.38,10.13
7379.95,300.47,55.04,87.3,26.49,10.05
7207.76,305.71,56.18,87.99,26.82,10.38
7078.5,287.43,54.74,83.76,24.5,9.8
6767.31,291.69,53.18,85.72,26.86,9.93
6468.4,305.88,55.75,87.64,28.47,10.45
6130.53,307.75,56.39,88.84,28.79,10.39
6153.85,305.09,57.11,88.65,27.76,10.42
5753.09,296.3,54.69,86.31,27.35,10.21
5780.9,297.42,55.33,86.75,28.76,10.3
5904.83,296.53,55.74,88.58,28.33,10.57
5750.8,297.93,56.49,88.13,28.54,10.65
5526.64,298.33,55.96,88.4,30.15,10.76
5930.32,286.95,54.92,85.21,27.51,9.96
6008.42,295.45,56.81,86.58,28.79,10.63
6031.6,300.19,58.2,88.12,27.13,10.91
6011.45,304.01,60.33,90.54,27.75,11.3
5708.52,308.09,59.74,88.62,28.66,12.07
5590.69,314.32,60.73,89.54,29.67,11.49
5605.51,317.08,59.48,91.28,31.4,12.05
5725.59,333.38,64.62,95.9,28.53,11.49
5678.19,336.6,65.47,94.87,27.73,10.44
5831.79,339.63,63.95,100.23,27.8,10.63
5647.21,338.76,59.43,95.13,29.35,11.25
5446.91,304.14,60.11,87.09,28.18,11.29
4826.48,303.46,50.89,87.42,29.96,12.13
4781.99,299.87,50.72,86.82,29.31,12.08
4772.02,297.39,50.16,85.49,29.1,12.07
4610.48,308.61,53.14,89.77,32.07,11.14
4426.89,311.12,52.58,91.7,36.14,11.94
4370.81,308.59,52.12,91.19,33.52,11.69
4328.41,295.86,51.67,91.86,32.28,11.86
4229.36,292.66,51.4,90.41,31.16,11.63
4317.48,292.46,52.35,92.96,33.61,12.12
4409.32,297.48,53.38,91.54,36.74,11.88
4403.74,302.34,54.54,93.22,35.72,12.34
4338.71,301.46,55.14,95.76,34.21,11.59
4163.07,291.47,52.62,94.5,28.64,9.77
4174.73,299.15,54.09,97.23,29.76,9.93
4200.67,306.47,56.28,101.04,31.79,9.9
3892.35,287.44,51.55,93.13,26.38,9.34
3926.07,292.33,51.58,93.64,26.02,9.36
3682.84,282.48,47.62,89.5,19.79,8.04
3792.4,286.17,49.27,91.85,20.18,8.11
3630.7,264.31,48.09,88.17,18.69,7.68
3631.04,258.58,46.61,86.24,17.45,7.38
3905.95,283.74,51.73,95.57,19.75,8.79
3924.97,282.8,52.84,97.72,19.94,8.91
4065.2,293.5,55.53,100.57,21.22,9.62
3582.88,251.75,48.49,93.74,19.86,8.27
3625.04,246.52,48.26,95.29,20.76,8.25
3637.52,250.46,48.21,99.85,18.74,8.47
3154.95,213.91,41.58,83.04,15.69,7.6
3882.59,277.11,61.73,111.33,20.06,11.94
4130.81,291.46,64.23,111.89,20.97,13.51
4161.27,294.53,66.04,112.75,21.88,14.28
4122.94,288.75,61.61,112.33,22.75,12.78
4226.06,294.4,66.01,116.27,21.96,13.32
4228.75,296.5,67.79,118.04,24.86,13.5
4599.88,329.43,78.48,120.84,30.78,14.74
4597.12,334.34,80.11,121.63,21.36,11.4
4376.53,312.99,71.29,118.82,22.8,11.71
4236.31,295.17,65.21,106.17,21.83,10.98
4582.96,347.48,76.84,126.01,30.32,15.29
4578.77,348.98,79.02,124.8,31.72,16.39
4892.01,387.74,86.04,141.2,32.01,18.26
4703.39,383.04,71.06,140.41,33.16,17.3
4565.3,378.49,64.17,132.38,33.1,16.84
4579.02,370.67,63.17,133.03,33.66,19.15
4382.66,347.75,62.36,145.4,38.45,16.24
4382.88,347.89,61.16,130.68,40.09,15.7
4352.4,333.88,51.75,138.05,38.59,15.41
4371.6,331.92,51.18,108.26,40.3,13.32
4334.68,325.61,50.19,86.29,42.05,13.78
4151.52,317.52,53.25,90.33,40,11.9
4100.52,314.79,46.73,91.16,35.85,11.06
4001.74,321.59,47.94,77.82,35.3,11.23
4087.66,301.43,46.23,54.71,38.19,11.79
4193.7,297.47,45.48,55.96,39.97,11.64
4160.62,295.59,47.28,46.69,38.85,11.63
4331.69,301.46,43.91,47.45,40.69,13.06
4376.63,302.27,44.15,48.78,45.54,14.35
4181.93,289.82,43.31,48.74,47.49,14.68
4325.13,300.1,45.8,49.75,47.43,15.06
4073.26,298.06,45.81,47.76,46.65,15.17
3884.71,310.6,46.43,49.37,36.61,13.9
3650.62,308.86,47.1,50.65,33.5,14.73
3381.28,295.89,46.5,49.47,36.18,15.77
3342.47,296.03,48.01,50.96,21.75,12.55
3419.94,296.77,48.63,51.94,18.27,11.5
3378.94,269.18,45.8,50.21,18.68,12.65
3213.94,261.57,45.1,47.83,15.21,10.07
3252.91,256.51,46.86,48.58,14.02,9.38
2895.89,223.07,43.45,45.12,10.43,8.22
2804.73,225.34,42.86,43.36,10.67,7.65
2710.67,219.95,42.13,43.63,8.11,6.43
2718.26,226.77,43.04,44.15,7.86,6.49
2875.34,203.87,43.02,39.84,7.33,6.12
2757.18,197.98,40.42,39.62,7.15,5.53
2726.45,205.79,41.12,43.89,7.26,5.78
2809.01,193.12,40.61,43.96,7.09,5.75
2671.78,204.32,42.14,45.24,7.72,6.21
2529.45,203.95,42.23,45.8,7.17,6.26
2576.48,206.71,42.24,40.68,7.35,6.13
2754.86,224.71,44.41,45.58,8.46,7.26
2730.4,225.95,44.06,42.67,8.57,6.64
2810.12,229.48,46.56,44.71,8.62,7.52
2667.76,218.31,45.76,40.34,7.42,7.84
2817.6,227.26,45.02,40.3,7.21,7.59
2273.43,199.7,40.86,35.06,5.88,5.62
2318.88,234.39,44.3,36.38,6.02,5.18
2228.41,193.42,42.67,34.83,5.77,4.38
1929.82,157.36,40.91,29.43,5.04,3.93
1998.86,170.66,38.92,32.09,5.03,3.88
2233.34,199.66,42.8,35.48,5.54,4.53
2357.9,209.73,46.33,38.23,6.29,5.11
2398.84,230.77,48.75,40.39,6.63,5.59
2337.79,197.4,45.33,37.14,5.4,4.82
2372.56,215.36,46.58,40.01,6.03,5.38
2518.44,242.14,49.58,44.85,6.9,6.36
2571.34,251.7,52.14,46.1,7.45,6.86
2518.66,245.99,46.58,44.25,6.77,6.87
2608.56,270.55,51.13,50.12,7.84,8.75
2601.99,268.77,53.19,45.72,8.03,8.3
2601.64,273.3,55.33,45.47,7.78,9.27
2564.06,282.9,46.43,43.63,8.22,9.19
2506.47,287.99,41.57,42.79,8.1,9.45
2434.55,274.6,38.99,40.96,7.95,10.39
2480.84,294.92,40.35,43.73,8.73,12.03
2539.32,302.88,41.07,45.02,9.77,12.48
2574.79,327.93,42.85,47.32,8.38,13.83
2552.45,293.09,40.54,43.57,6.83,14.47
2478.45,272.69,41.13,43.49,5.53,12.61
2589.41,303.25,43.92,45.89,5.95,14.92
2608.72,323.7,44.49,48.03,6.3,16.35
2744.91,341.74,47.34,51.41,6.84,16.99
2705.41,336.37,47.71,47.28,6.94,12.1
2689.1,336.87,47.79,46.59,10.15,11.83
2721.79,359,47.22,48.08,8,11.49
2589.6,370.06,50.32,49.09,11.72,10.59
2548.29,371.46,46.04,49.6,5.26,10.58
2655.88,379.41,47.65,50.46,3.76,11.25
2518.56,370.23,35.7,48.11,2.77,11.29
2464.58,361.93,30.22,46.02,1.78,11.11
2506.37,359.05,30.22,46.3,1.74,11.77
2717.02,397.54,30.64,51.8,1.81,12.42
2659.63,401.49,29.5,50.04,1.51,10.96
2958.11,340.61,33.22,58.7,1.67,11.76
2947.71,337.67,30.44,52.28,1.68,11.33
2823.81,281.74,29.68,55.62,1.55,11.74
2805.62,261.67,30.21,56.19,1.36,12.35
2732.16,258.07,28.39,52.54,1.28,10.97
2863.2,264.47,30.55,55.57,1.34,11.5
2686.81,248.46,30.84,48.26,1.28,11.17
2511.81,245.33,27.94,42.9,1.26,12.15
2515.35,224.38,27.66,42.37,1.26,12.54
2488.55,223.78,28.94,44,1.35,13.46
2407.88,222.24,28.8,43.7,1.24,7.79
2286.41,230.67,25.3,41.83,1.03,4.86
2175.47,231.91,24.14,39.79,1.02,4.65
2255.61,194.91,25.21,41.21,0.966765,4.6
2155.8,170.51,24.22,36.84,0.930106,4.62
2038.87,157.76,23.74,33.41,0.982348,4.53
2202.42,160.4,23.75,38.71,0.826549,4.1
2304.98,174.45,29.9,40.12,1.11,4.66
2443.64,190.05,34.45,45.38,1.76,6.19
